title,audience_rating,critic_rating
"Hachi: A Dog's Tale",8.1,66
"Hacksaw Ridge",8.1,71
Hamilton,8.3,88
"Hands of Stone",6.6,54
"Happy Heroes 2 Qiyuan Planet Wars",7.4,66
Harriet,6.7,66
"Harry Potter and the Chamber of Secrets",7.4,63
"Harry Potter and the Chamber of Secrets",7.4,63
"Harry Potter and the Deathly Hallows: Part 1",7.7,65
"Harry Potter and the Deathly Hallows: Part 1",7.7,65
"Harry Potter and the Deathly Hallows: Part 2",8.1,85
"Harry Potter and the Deathly Hallows: Part 2",8.1,85
"Harry Potter and the Goblet of Fire",7.7,81
"Harry Potter and the Goblet of Fire",7.7,81
"Harry Potter and the Half-Blood Prince",7.6,78
"Harry Potter and the Half-Blood Prince",7.6,78
"Harry Potter and the Order of the Phoenix",7.5,71
"Harry Potter and the Order of the Phoenix",7.5,71
"Harry Potter and the Prisoner of Azkaban",7.9,82
"Harry Potter and the Prisoner of Azkaban",7.9,82
"Haunted Mansion",6,47
"Haunted Mansion",6,47
"Heaven & Earth",6.8,66
"Heavenly Creatures",7.3,86
"Henry & June",6.3,62
"Henry V",7.5,83
"Henry VIII and His Six Wives",6.8,66
Hercules,7.3,74
Hereditary,7.3,87
Hereditary,7.3,87
"Heroes Manufactured",8.2,66
"Hesus, rebolusyunaryo",6.5,66
Hidalgo,6.7,54
"Hidden Figures",7.8,74
"Hilary and Jackie",7.3,78
Hitchcock,6.8,55
Hoffa,6.6,50
Holes,7,71
Holes,7,71
Holes,7,71
Hollywoodland,6.5,62
"Home Alone",7.7,63
Hoodwinked!,6.5,45
Hook,6.8,52
"Hope Floats",6,43
"Horse Girl",6,61
"Hotel Rwanda",8.1,79
"House of Gucci",6.6,59
"How I Live Now",6.4,57
"How to Lose Friends & Alienate People",6.4,35
Hugo,7.5,83
Hugo,7.5,83
Hysteria,6.7,53
"I Accuse",7,66
"I Can Only Imagine",7.3,30
"I Love You Phillip Morris",6.6,65
"I Shot Andy Warhol",6.6,75
"I Still Believe",6.5,41
"I, Tonya",7.5,77
"I'm Not There",6.8,73
"Ice Age",7.5,61
IF,6.7,46
IF,6.7,46
Imaginary,4.7,34
Imaginary,4.7,34
"Immortal Beloved",7.4,66
Immortals,6,46
Imperium,6.5,68
Impromptu,6.8,66
"In Cold Blood",7.9,89
